"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","178,580","±1,815","5,046","±298","2,264","±246","85,702","±1,211"
"    Less than 10.0 percent","5,331","±522","164","±74","12","±19","2,523","±363"
"    10.0 to 14.9 percent","13,975","±890","427","±117","193","±101","5,959","±533"
"    15.0 to 19.9 percent","23,996","±982","550","±122","279","±118","11,156","±672"
"    20.0 to 24.9 percent","23,238","±994","465","±134","217","±123","10,634","±667"
"    25.0 to 29.9 percent","21,601","±948","584","±147","397","±149","10,491","±590"
"    30.0 to 34.9 percent","16,323","±879","404","±111","181","±96","7,712","±617"
"    35.0 to 39.9 percent","10,378","±660","172","±55","57","±48","4,680","±432"
"    40.0 to 49.9 percent","14,115","±835","468","±116","266","±111","6,362","±543"
"    50.0 percent or more","43,125","±1,220","1,045","±201","451","±133","22,672","±815"
"    Not computed","6,498","±548","767","±121","211","±96","3,513","±400"
