"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","306,288","±2,018","19,117","±348","3,493","±256","81,122","±1,221"
"    Housing units with a mortgage:","226,337","±1,779","11,265","±312","2,273","±232","61,560","±1,093"
"        Less than 10.0 percent","15,541","±833","683","±109","128","±63","3,872","±341"
"        10.0 to 14.9 percent","32,245","±989","1,807","±158","428","±124","8,321","±493"
"        15.0 to 19.9 percent","44,685","±1,094","2,369","±202","607","±155","11,719","±584"
"        20.0 to 24.9 percent","39,874","±1,073","1,842","±200","436","±135","10,498","±460"
"        25.0 to 29.9 percent","27,533","±887","1,217","±132","225","±90","7,652","±505"
"        30.0 to 34.9 percent","17,133","±665","937","±105","151","±83","4,926","±360"
"        35.0 to 39.9 percent","10,701","±586","599","±98","104","±81","3,308","±304"
"        40.0 to 49.9 percent","13,874","±622","707","±87","88","±47","4,033","±380"
"        50.0 percent or more","24,122","±880","1,077","±95","106","±56","7,045","±456"
"        Not computed","629","±153","27","±13","0","±14","186","±76"
"    Housing units without a mortgage:","79,951","±1,356","7,852","±226","1,220","±147","19,562","±626"
"        Less than 10.0 percent","32,806","±912","3,442","±179","586","±117","7,014","±422"
"        10.0 to 14.9 percent","15,086","±663","1,689","±145","313","±90","3,628","±332"
"        15.0 to 19.9 percent","9,515","±450","849","±96","114","±52","2,330","±252"
"        20.0 to 24.9 percent","5,853","±429","525","±74","54","±44","1,502","±222"
"        25.0 to 29.9 percent","4,241","±387","343","±59","36","±33","1,141","±170"
"        30.0 to 34.9 percent","2,663","±266","273","±84","74","±54","859","±156"
"        35.0 to 39.9 percent","1,945","±227","142","±37","15","±23","519","±137"
"        40.0 to 49.9 percent","2,326","±268","172","±43","14","±17","893","±141"
"        50.0 percent or more","4,698","±432","357","±48","14","±16","1,430","±191"
"        Not computed","818","±154","60","±23","0","±14","246","±92"
