"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","321,314","±2,319","19,684","±427","4,222","±334","84,821","±1,744"
"    Housing units with a mortgage:","227,653","±2,213","11,287","±399","2,387","±254","61,936","±1,478"
"        Less than 10.0 percent","20,595","±1,127","809","±128","188","±84","5,653","±566"
"        10.0 to 14.9 percent","47,800","±1,597","2,073","±161","547","±139","12,461","±770"
"        15.0 to 19.9 percent","51,813","±1,414","2,576","±207","583","±144","13,920","±857"
"        20.0 to 24.9 percent","34,265","±1,351","1,808","±223","351","±130","8,859","±670"
"        25.0 to 29.9 percent","23,381","±1,099","1,051","±127","107","±61","6,673","±556"
"        30.0 to 34.9 percent","12,987","±909","859","±141","219","±108","3,279","±376"
"        35.0 to 39.9 percent","8,253","±620","410","±80","91","±60","2,335","±339"
"        40.0 to 49.9 percent","9,092","±732","675","±135","152","±105","2,642","±361"
"        50.0 percent or more","18,491","±879","990","±144","149","±103","5,644","±424"
"        Not computed","976","±321","36","±25","0","±15","470","±292"
"    Housing units without a mortgage:","93,661","±1,872","8,397","±415","1,835","±348","22,885","±927"
"        Less than 10.0 percent","43,589","±1,381","3,839","±245","762","±194","9,776","±651"
"        10.0 to 14.9 percent","17,744","±803","1,403","±121","238","±99","4,204","±406"
"        15.0 to 19.9 percent","10,377","±736","933","±155","224","±114","2,547","±311"
"        20.0 to 24.9 percent","5,938","±524","544","±98","75","±48","1,791","±258"
"        25.0 to 29.9 percent","3,413","±353","429","±121","123","±100","1,047","±170"
"        30.0 to 34.9 percent","2,346","±365","240","±68","58","±56","623","±176"
"        35.0 to 39.9 percent","1,607","±253","172","±80","91","±73","360","±110"
"        40.0 to 49.9 percent","2,243","±388","378","±259","195","±254","554","±122"
"        50.0 percent or more","5,429","±553","395","±68","59","±38","1,665","±289"
"        Not computed","975","±222","64","±22","10","±16","318","±111"
