"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","195,925","±2,445","4,947","±418","2,255","±326","96,326","±1,685"
"    Less than 10.0 percent","6,834","±660","291","±96","55","±50","3,897","±499"
"    10.0 to 14.9 percent","16,581","±925","538","±144","293","±124","8,185","±673"
"    15.0 to 19.9 percent","27,599","±1,408","442","±134","204","±123","13,847","±935"
"    20.0 to 24.9 percent","27,369","±1,354","653","±153","289","±133","12,285","±935"
"    25.0 to 29.9 percent","24,378","±1,541","683","±206","326","±154","11,768","±1,065"
"    30.0 to 34.9 percent","17,937","±1,161","395","±136","238","±123","9,025","±843"
"    35.0 to 39.9 percent","12,021","±868","232","±115","118","±69","5,566","±688"
"    40.0 to 49.9 percent","14,863","±1,007","221","±115","145","±111","7,168","±669"
"    50.0 percent or more","42,034","±1,818","878","±204","499","±168","21,430","±1,104"
"    Not computed","6,309","±599","614","±118","88","±72","3,155","±514"
