"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","333,104","±2,836","19,963","±433","4,148","±378","89,348","±1,689"
"    Housing units with a mortgage:","232,350","±2,497","11,258","±425","2,371","±271","65,138","±1,549"
"        Less than 10.0 percent","21,940","±1,067","994","±156","217","±116","5,952","±535"
"        10.0 to 14.9 percent","49,368","±1,275","2,065","±184","553","±160","13,042","±755"
"        15.0 to 19.9 percent","51,428","±1,404","2,193","±218","367","±147","14,011","±800"
"        20.0 to 24.9 percent","34,975","±1,314","1,794","±198","298","±119","9,405","±732"
"        25.0 to 29.9 percent","22,867","±1,060","1,000","±135","121","±75","6,974","±615"
"        30.0 to 34.9 percent","13,414","±871","980","±196","372","±148","3,506","±414"
"        35.0 to 39.9 percent","8,279","±669","497","±99","103","±73","2,366","±299"
"        40.0 to 49.9 percent","9,487","±621","719","±177","238","±139","3,154","±344"
"        50.0 percent or more","19,568","±988","981","±142","102","±64","6,218","±581"
"        Not computed","1,024","±265","35","±28","0","±15","510","±226"
"    Housing units without a mortgage:","100,754","±2,121","8,705","±328","1,777","±271","24,210","±1,039"
"        Less than 10.0 percent","46,262","±1,291","4,001","±226","776","±173","10,009","±655"
"        10.0 to 14.9 percent","19,384","±887","1,538","±147","304","±112","4,744","±393"
"        15.0 to 19.9 percent","11,273","±795","986","±137","239","±103","2,895","±333"
"        20.0 to 24.9 percent","6,719","±506","625","±156","135","±141","1,953","±271"
"        25.0 to 29.9 percent","3,382","±380","376","±106","81","±91","932","±187"
"        30.0 to 34.9 percent","2,509","±295","267","±72","79","±55","670","±173"
"        35.0 to 39.9 percent","1,764","±271","155","±61","73","±54","557","±130"
"        40.0 to 49.9 percent","2,162","±376","224","±92","53","±79","379","±106"
"        50.0 percent or more","6,064","±623","404","±76","31","±34","1,672","±333"
"        Not computed","1,235","±300","129","±72","6","±9","399","±156"
