"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","307,395","±1,884","18,873","±337","3,599","±203","80,921","±1,071"
"    Housing units with a mortgage:","223,845","±1,993","10,978","±328","2,270","±231","60,890","±1,086"
"        Less than 10.0 percent","16,561","±753","755","±119","156","±87","4,071","±354"
"        10.0 to 14.9 percent","35,256","±964","1,881","±183","520","±136","9,370","±469"
"        15.0 to 19.9 percent","45,873","±1,136","2,386","±244","599","±180","12,102","±554"
"        20.0 to 24.9 percent","38,790","±1,153","1,725","±185","406","±129","10,231","±583"
"        25.0 to 29.9 percent","26,683","±980","1,074","±113","177","±80","7,415","±495"
"        30.0 to 34.9 percent","15,604","±805","900","±160","208","±126","4,174","±363"
"        35.0 to 39.9 percent","9,968","±556","562","±98","86","±79","2,912","±290"
"        40.0 to 49.9 percent","12,803","±698","611","±84","27","±31","3,768","±335"
"        50.0 percent or more","21,706","±760","1,050","±117","84","±50","6,658","±443"
"        Not computed","601","±148","34","±17","7","±12","189","±82"
"    Housing units without a mortgage:","83,550","±1,402","7,895","±270","1,329","±159","20,031","±712"
"        Less than 10.0 percent","34,885","±943","3,424","±174","622","±130","7,504","±467"
"        10.0 to 14.9 percent","15,867","±689","1,727","±143","326","±85","3,613","±289"
"        15.0 to 19.9 percent","10,226","±586","891","±87","102","±53","2,516","±269"
"        20.0 to 24.9 percent","5,663","±361","474","±72","68","±49","1,424","±209"
"        25.0 to 29.9 percent","4,229","±373","351","±55","49","±39","1,163","±189"
"        30.0 to 34.9 percent","2,768","±263","277","±67","84","±52","817","±157"
"        35.0 to 39.9 percent","1,969","±243","131","±34","15","±24","528","±112"
"        40.0 to 49.9 percent","2,383","±287","184","±42","25","±28","796","±145"
"        50.0 percent or more","4,760","±391","351","±54","18","±20","1,493","±214"
"        Not computed","800","±148","85","±39","20","±30","177","±77"
