"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","182,801","±1,728","5,169","±356","2,317","±235","87,464","±1,050"
"    Less than 10.0 percent","6,172","±607","142","±53","0","±14","2,898","±391"
"    10.0 to 14.9 percent","15,197","±907","565","±157","222","±125","6,550","±541"
"    15.0 to 19.9 percent","24,780","±970","598","±149","298","±122","11,507","±497"
"    20.0 to 24.9 percent","23,894","±997","496","±153","289","±140","10,651","±653"
"    25.0 to 29.9 percent","21,889","±948","542","±155","351","±138","10,782","±628"
"    30.0 to 34.9 percent","16,114","±725","346","±114","142","±98","7,404","±516"
"    35.0 to 39.9 percent","10,827","±690","234","±76","96","±58","5,187","±486"
"    40.0 to 49.9 percent","14,234","±813","381","±132","199","±117","6,661","±548"
"    50.0 percent or more","43,404","±1,439","1,101","±238","547","±168","22,545","±911"
"    Not computed","6,290","±489","764","±128","173","±93","3,279","±410"
