"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","316,847","±1,902","19,324","±323","3,807","±314","83,601","±1,043"
"    Housing units with a mortgage:","224,062","±1,949","11,182","±327","2,362","±278","60,457","±999"
"        Less than 10.0 percent","19,198","±673","845","±126","214","±100","4,920","±339"
"        10.0 to 14.9 percent","46,018","±1,123","2,221","±220","651","±171","12,083","±513"
"        15.0 to 19.9 percent","50,222","±1,276","2,509","±193","535","±136","13,244","±574"
"        20.0 to 24.9 percent","35,059","±1,033","1,629","±158","320","±121","9,319","±548"
"        25.0 to 29.9 percent","22,612","±928","1,037","±138","113","±74","6,279","±428"
"        30.0 to 34.9 percent","13,670","±743","823","±130","219","±118","3,228","±291"
"        35.0 to 39.9 percent","8,803","±603","424","±74","65","±57","2,499","±261"
"        40.0 to 49.9 percent","8,941","±650","581","±111","129","±92","2,616","±353"
"        50.0 percent or more","18,775","±845","1,062","±124","109","±65","6,030","±494"
"        Not computed","764","±187","51","±30","7","±10","239","±96"
"    Housing units without a mortgage:","92,785","±1,387","8,142","±286","1,445","±193","23,144","±688"
"        Less than 10.0 percent","42,299","±1,038","3,707","±213","705","±145","9,444","±536"
"        10.0 to 14.9 percent","18,016","±814","1,554","±128","233","±86","4,519","±433"
"        15.0 to 19.9 percent","10,372","±596","880","±94","138","±64","2,673","±283"
"        20.0 to 24.9 percent","5,710","±458","541","±84","83","±52","1,717","±221"
"        25.0 to 29.9 percent","3,327","±356","388","±77","90","±46","1,079","±175"
"        30.0 to 34.9 percent","2,644","±284","278","±73","77","±55","617","±138"
"        35.0 to 39.9 percent","1,841","±228","147","±49","40","±37","406","±97"
"        40.0 to 49.9 percent","2,299","±289","157","±35","0","±14","635","±144"
"        50.0 percent or more","5,406","±432","411","±59","57","±34","1,788","±259"
"        Not computed","871","±163","79","±34","22","±27","266","±89"
