"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","191,183","±1,834","5,363","±257","2,478","±243","93,373","±1,188"
"    Less than 10.0 percent","7,893","±553","188","±58","18","±23","3,964","±406"
"    10.0 to 14.9 percent","18,019","±895","699","±158","287","±127","8,427","±671"
"    15.0 to 19.9 percent","26,158","±1,028","574","±144","260","±130","12,738","±725"
"    20.0 to 24.9 percent","26,076","±1,088","709","±202","435","±180","11,732","±655"
"    25.0 to 29.9 percent","22,546","±1,008","527","±146","225","±125","10,958","±684"
"    30.0 to 34.9 percent","17,499","±827","462","±157","259","±144","8,570","±591"
"    35.0 to 39.9 percent","11,025","±783","357","±157","189","±105","5,165","±494"
"    40.0 to 49.9 percent","14,595","±826","180","±72","42","±42","7,111","±535"
"    50.0 percent or more","41,283","±1,334","1,073","±193","684","±178","21,325","±943"
"    Not computed","6,089","±516","594","±93","79","±57","3,383","±413"
