"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","174,559","±1,849","5,138","±307","2,210","±254","83,982","±1,333"
"    Less than 10.0 percent","4,701","±467","243","±83","47","±52","2,343","±304"
"    10.0 to 14.9 percent","13,656","±737","421","±117","202","±99","5,745","±473"
"    15.0 to 19.9 percent","23,491","±1,046","571","±127","252","±113","10,957","±733"
"    20.0 to 24.9 percent","22,885","±964","440","±134","202","±100","10,301","±646"
"    25.0 to 29.9 percent","21,381","±1,002","645","±147","394","±134","10,413","±671"
"    30.0 to 34.9 percent","15,550","±769","387","±114","170","±87","7,583","±548"
"    35.0 to 39.9 percent","11,034","±656","198","±72","91","±61","5,053","±509"
"    40.0 to 49.9 percent","13,898","±782","486","±165","247","±138","6,482","±506"
"    50.0 percent or more","41,465","±1,100","1,071","±158","424","±107","21,569","±876"
"    Not computed","6,498","±489","676","±111","181","±94","3,536","±410"
