"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","187,587","±1,688","5,148","±338","2,304","±280","90,609","±1,262"
"    Less than 10.0 percent","7,205","±518","140","±52","14","±19","3,380","±377"
"    10.0 to 14.9 percent","16,345","±631","632","±170","239","±129","7,507","±471"
"    15.0 to 19.9 percent","25,229","±1,073","644","±168","315","±149","11,993","±671"
"    20.0 to 24.9 percent","25,147","±1,026","525","±156","306","±146","11,333","±656"
"    25.0 to 29.9 percent","21,680","±1,008","463","±118","219","±86","10,658","±668"
"    30.0 to 34.9 percent","17,377","±885","412","±147","189","±112","8,083","±482"
"    35.0 to 39.9 percent","10,807","±699","262","±114","182","±105","5,234","±433"
"    40.0 to 49.9 percent","14,404","±770","334","±114","165","±97","6,819","±496"
"    50.0 percent or more","43,185","±1,392","1,043","±213","598","±187","22,353","±1,042"
"    Not computed","6,208","±521","693","±108","77","±52","3,249","±346"
