"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","311,517","±2,097","19,152","±338","3,950","±281","81,473","±1,093"
"    Housing units with a mortgage:","223,341","±2,132","10,978","±267","2,360","±223","59,928","±1,098"
"        Less than 10.0 percent","18,211","±808","798","±130","241","±100","4,547","±349"
"        10.0 to 14.9 percent","41,454","±1,213","2,083","±196","619","±150","10,839","±556"
"        15.0 to 19.9 percent","48,401","±1,268","2,587","±187","667","±174","12,876","±612"
"        20.0 to 24.9 percent","36,895","±1,156","1,698","±147","347","±99","9,821","±567"
"        25.0 to 29.9 percent","24,539","±870","1,012","±106","95","±56","6,529","±403"
"        30.0 to 34.9 percent","13,926","±627","762","±99","116","±65","3,651","±335"
"        35.0 to 39.9 percent","8,973","±527","437","±81","64","±71","2,441","±268"
"        40.0 to 49.9 percent","10,165","±599","546","±82","66","±49","2,807","±274"
"        50.0 percent or more","20,119","±1,002","1,031","±97","136","±61","6,214","±469"
"        Not computed","658","±138","24","±22","9","±14","203","±83"
"    Housing units without a mortgage:","88,176","±1,484","8,174","±245","1,590","±189","21,545","±622"
"        Less than 10.0 percent","38,935","±1,144","3,639","±214","744","±153","8,460","±488"
"        10.0 to 14.9 percent","16,721","±668","1,721","±149","348","±93","4,074","±311"
"        15.0 to 19.9 percent","9,854","±619","876","±82","123","±54","2,429","±267"
"        20.0 to 24.9 percent","5,832","±403","465","±69","72","±53","1,645","±236"
"        25.0 to 29.9 percent","3,748","±334","379","±74","84","±53","1,042","±173"
"        30.0 to 34.9 percent","2,663","±275","291","±72","89","±55","766","±143"
"        35.0 to 39.9 percent","1,935","±272","160","±60","45","±50","477","±111"
"        40.0 to 49.9 percent","2,570","±290","158","±47","0","±14","824","±152"
"        50.0 percent or more","5,039","±418","422","±78","69","±56","1,607","±228"
"        Not computed","879","±149","63","±30","16","±26","221","±73"
