"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","186,566","±2,042","5,115","±282","2,223","±255","89,283","±1,110"
"    Less than 10.0 percent","6,679","±555","123","±43","0","±14","3,154","±406"
"    10.0 to 14.9 percent","15,769","±1,027","608","±162","259","±131","6,999","±578"
"    15.0 to 19.9 percent","25,517","±1,028","614","±162","278","±124","12,068","±734"
"    20.0 to 24.9 percent","25,047","±942","560","±165","351","±146","11,147","±646"
"    25.0 to 29.9 percent","21,137","±888","550","±137","335","±134","10,458","±683"
"    30.0 to 34.9 percent","16,622","±893","338","±123","109","±79","7,718","±633"
"    35.0 to 39.9 percent","11,171","±704","227","±72","109","±57","5,313","±506"
"    40.0 to 49.9 percent","14,940","±813","344","±119","158","±108","7,019","±593"
"    50.0 percent or more","43,215","±1,725","1,014","±189","489","±160","22,128","±898"
"    Not computed","6,469","±437","737","±111","135","±74","3,279","±353"
