"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","307,266","±2,202","18,847","±355","3,672","±232","80,520","±1,131"
"    Housing units with a mortgage:","221,614","±2,123","10,908","±308","2,288","±243","59,616","±1,171"
"        Less than 10.0 percent","17,021","±736","772","±105","225","±99","4,301","±318"
"        10.0 to 14.9 percent","38,446","±1,162","1,970","±160","561","±145","9,933","±639"
"        15.0 to 19.9 percent","47,226","±1,179","2,531","±237","640","±182","12,512","±604"
"        20.0 to 24.9 percent","37,876","±968","1,691","±165","367","±130","9,821","±591"
"        25.0 to 29.9 percent","25,608","±967","1,062","±115","147","±71","6,794","±501"
"        30.0 to 34.9 percent","14,252","±646","811","±114","151","±92","3,713","±348"
"        35.0 to 39.9 percent","9,202","±512","481","±80","61","±69","2,696","±269"
"        40.0 to 49.9 percent","11,017","±568","559","±75","28","±23","3,155","±314"
"        50.0 percent or more","20,274","±781","999","±101","99","±55","6,498","±362"
"        Not computed","692","±139","32","±26","9","±14","193","±66"
"    Housing units without a mortgage:","85,652","±1,510","7,939","±263","1,384","±168","20,904","±728"
"        Less than 10.0 percent","37,156","±1,196","3,464","±201","640","±122","8,161","±473"
"        10.0 to 14.9 percent","16,128","±733","1,707","±136","300","±103","3,769","±286"
"        15.0 to 19.9 percent","9,963","±565","865","±90","114","±57","2,371","±276"
"        20.0 to 24.9 percent","5,728","±363","481","±71","71","±51","1,577","±223"
"        25.0 to 29.9 percent","3,848","±367","334","±61","61","±42","1,057","±178"
"        30.0 to 34.9 percent","2,700","±273","281","±70","97","±60","834","±184"
"        35.0 to 39.9 percent","1,854","±225","164","±62","45","±51","483","±111"
"        40.0 to 49.9 percent","2,516","±325","182","±44","10","±15","845","±160"
"        50.0 percent or more","4,970","±465","380","±50","29","±25","1,606","±219"
"        Not computed","789","±164","81","±35","17","±26","201","±73"
