"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","198,052","±2,355","5,247","±362","2,337","±317","98,258","±1,578"
"    Less than 10.0 percent","6,516","±666","325","±109","66","±45","3,626","±536"
"    10.0 to 14.9 percent","17,271","±1,113","553","±145","270","±111","9,178","±789"
"    15.0 to 19.9 percent","26,435","±1,375","500","±127","247","±105","13,053","±921"
"    20.0 to 24.9 percent","28,187","±1,441","483","±108","186","±94","12,902","±958"
"    25.0 to 29.9 percent","24,388","±1,466","643","±186","285","±145","12,052","±1,172"
"    30.0 to 34.9 percent","18,205","±1,269","456","±151","281","±144","9,252","±830"
"    35.0 to 39.9 percent","12,306","±881","253","±104","131","±71","6,229","±710"
"    40.0 to 49.9 percent","15,161","±996","321","±131","218","±127","7,474","±690"
"    50.0 percent or more","43,427","±1,352","965","±225","516","±186","21,598","±1,037"
"    Not computed","6,156","±519","748","±128","137","±92","2,894","±443"
