"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","336,521","±2,267","19,934","±394","4,067","±317","90,686","±1,527"
"    Housing units with a mortgage:","234,621","±2,642","10,917","±367","2,262","±294","66,548","±1,591"
"        Less than 10.0 percent","22,091","±1,098","1,024","±154","218","±130","6,108","±661"
"        10.0 to 14.9 percent","49,889","±1,576","2,001","±164","511","±139","13,282","±839"
"        15.0 to 19.9 percent","51,615","±1,661","2,204","±202","405","±143","14,599","±924"
"        20.0 to 24.9 percent","35,388","±1,521","1,766","±185","264","±109","9,621","±718"
"        25.0 to 29.9 percent","22,912","±1,165","1,058","±154","162","±107","6,972","±663"
"        30.0 to 34.9 percent","13,496","±908","833","±180","287","±155","3,678","±402"
"        35.0 to 39.9 percent","8,130","±751","439","±87","85","±66","2,359","±354"
"        40.0 to 49.9 percent","9,668","±740","659","±152","204","±113","3,063","±357"
"        50.0 percent or more","20,429","±1,099","902","±106","126","±75","6,350","±611"
"        Not computed","1,003","±250","31","±27","0","±15","516","±232"
"    Housing units without a mortgage:","101,900","±2,122","9,017","±307","1,805","±259","24,138","±1,086"
"        Less than 10.0 percent","46,262","±1,621","4,111","±227","783","±174","10,150","±836"
"        10.0 to 14.9 percent","19,469","±1,009","1,660","±164","311","±126","4,544","±348"
"        15.0 to 19.9 percent","11,628","±825","1,006","±143","231","±95","3,038","±338"
"        20.0 to 24.9 percent","6,679","±542","631","±134","118","±114","1,848","±292"
"        25.0 to 29.9 percent","3,480","±441","393","±94","100","±77","779","±189"
"        30.0 to 34.9 percent","2,371","±300","249","±66","63","±54","600","±136"
"        35.0 to 39.9 percent","1,954","±272","187","±61","73","±51","570","±161"
"        40.0 to 49.9 percent","2,269","±384","241","±93","53","±79","412","±122"
"        50.0 percent or more","6,576","±647","440","±96","73","±72","1,825","±326"
"        Not computed","1,212","±313","99","±49","0","±15","372","±140"
