"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","193,242","±2,787","4,988","±352","2,364","±290","94,741","±1,804"
"    Less than 10.0 percent","6,938","±681","288","±97","91","±71","3,751","±507"
"    10.0 to 14.9 percent","17,010","±1,084","579","±156","298","±136","8,404","±728"
"    15.0 to 19.9 percent","27,361","±1,172","386","±119","165","±105","13,696","±750"
"    20.0 to 24.9 percent","26,952","±1,385","675","±197","299","±148","11,805","±827"
"    25.0 to 29.9 percent","24,104","±1,330","635","±178","278","±138","11,720","±957"
"    30.0 to 34.9 percent","18,096","±1,241","387","±133","256","±124","9,200","±847"
"    35.0 to 39.9 percent","12,052","±967","248","±96","133","±94","5,530","±669"
"    40.0 to 49.9 percent","14,343","±943","175","±80","92","±71","6,972","±657"
"    50.0 percent or more","40,163","±1,402","962","±193","646","±170","20,364","±946"
"    Not computed","6,223","±587","653","±109","106","±74","3,299","±475"
