"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","330,286","±2,805","19,850","±389","4,281","±342","87,678","±1,687"
"    Housing units with a mortgage:","232,639","±2,579","11,377","±367","2,486","±313","64,217","±1,554"
"        Less than 10.0 percent","21,709","±1,298","915","±139","223","±124","5,983","±567"
"        10.0 to 14.9 percent","49,094","±1,495","2,086","±183","526","±149","12,766","±700"
"        15.0 to 19.9 percent","51,735","±1,463","2,326","±202","439","±133","14,182","±713"
"        20.0 to 24.9 percent","34,823","±1,185","1,900","±230","385","±166","9,042","±632"
"        25.0 to 29.9 percent","23,940","±1,277","1,060","±118","130","±72","7,217","±663"
"        30.0 to 34.9 percent","13,435","±920","937","±163","296","±139","3,342","±408"
"        35.0 to 39.9 percent","8,051","±632","451","±97","122","±79","2,259","±360"
"        40.0 to 49.9 percent","9,808","±768","698","±161","203","±133","3,169","±414"
"        50.0 percent or more","19,109","±1,138","968","±140","162","±100","5,778","±522"
"        Not computed","935","±251","36","±31","0","±15","479","±225"
"    Housing units without a mortgage:","97,647","±2,072","8,473","±306","1,795","±257","23,461","±1,068"
"        Less than 10.0 percent","45,734","±1,683","3,950","±255","826","±205","9,863","±828"
"        10.0 to 14.9 percent","18,640","±967","1,531","±150","306","±124","4,519","±430"
"        15.0 to 19.9 percent","10,633","±774","921","±150","249","±103","2,797","±343"
"        20.0 to 24.9 percent","6,217","±533","517","±89","53","±43","1,846","±309"
"        25.0 to 29.9 percent","3,240","±362","417","±109","98","±87","997","±178"
"        30.0 to 34.9 percent","2,436","±333","238","±66","58","±54","612","±166"
"        35.0 to 39.9 percent","1,693","±251","169","±66","76","±55","435","±122"
"        40.0 to 49.9 percent","2,255","±343","216","±89","54","±79","432","±97"
"        50.0 percent or more","5,623","±516","400","±77","65","±42","1,583","±278"
"        Not computed","1,176","±276","114","±61","10","±15","377","±130"
