"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","189,237","±1,847","5,126","±315","2,416","±311","91,643","±1,311"
"    Less than 10.0 percent","7,761","±640","162","±54","15","±20","3,682","±433"
"    10.0 to 14.9 percent","16,704","±863","580","±144","214","±105","7,714","±559"
"    15.0 to 19.9 percent","24,978","±1,056","569","±151","271","±136","12,000","±650"
"    20.0 to 24.9 percent","25,338","±1,116","705","±174","423","±153","11,458","±631"
"    25.0 to 29.9 percent","22,097","±988","464","±130","233","±107","10,755","±676"
"    30.0 to 34.9 percent","17,663","±892","436","±164","207","±128","8,199","±565"
"    35.0 to 39.9 percent","11,115","±756","308","±111","210","±101","5,236","±456"
"    40.0 to 49.9 percent","14,517","±787","224","±80","75","±57","6,818","±512"
"    50.0 percent or more","42,691","±1,432","1,067","±170","661","±155","22,194","±888"
"    Not computed","6,373","±546","611","±102","107","±69","3,587","±422"
