"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","314,239","±2,009","19,100","±351","3,826","±283","82,273","±1,132"
"    Housing units with a mortgage:","223,704","±1,898","11,004","±338","2,264","±234","59,947","±1,099"
"        Less than 10.0 percent","18,931","±886","744","±116","205","±96","4,874","±413"
"        10.0 to 14.9 percent","43,441","±1,281","2,099","±179","583","±144","11,682","±580"
"        15.0 to 19.9 percent","49,430","±1,288","2,509","±185","590","±148","12,943","±699"
"        20.0 to 24.9 percent","36,152","±1,042","1,709","±149","381","±114","9,684","±478"
"        25.0 to 29.9 percent","23,246","±863","1,035","±129","117","±65","6,043","±440"
"        30.0 to 34.9 percent","13,809","±712","797","±105","134","±55","3,471","±309"
"        35.0 to 39.9 percent","8,862","±479","456","±94","79","±78","2,378","±272"
"        40.0 to 49.9 percent","9,724","±555","563","±72","71","±54","2,654","±319"
"        50.0 percent or more","19,352","±820","1,060","±103","96","±47","6,014","±462"
"        Not computed","757","±176","32","±18","8","±11","204","±79"
"    Housing units without a mortgage:","90,535","±1,252","8,096","±329","1,562","±233","22,326","±710"
"        Less than 10.0 percent","40,618","±1,014","3,626","±243","790","±179","9,032","±493"
"        10.0 to 14.9 percent","17,380","±735","1,710","±132","308","±98","4,292","±298"
"        15.0 to 19.9 percent","9,928","±489","860","±89","118","±59","2,538","±276"
"        20.0 to 24.9 percent","5,683","±400","479","±76","74","±52","1,639","±231"
"        25.0 to 29.9 percent","3,647","±308","371","±74","77","±44","1,081","±168"
"        30.0 to 34.9 percent","2,662","±294","245","±60","73","±53","648","±159"
"        35.0 to 39.9 percent","1,842","±215","140","±55","37","±43","440","±107"
"        40.0 to 49.9 percent","2,460","±273","161","±48","0","±14","753","±153"
"        50.0 percent or more","5,474","±436","430","±71","62","±44","1,666","±242"
"        Not computed","841","±160","74","±33","23","±27","237","±77"
